run_id,condition,bot,replication,machine,session,K,ecart,reference_recite,ev_pi_hat,ev_br,ev_realisee,actions_par_defaut,relances,erreurs_harnais,n_flags_deobf,n_flags_recitation,ecritures_intra_serie,plateau_declare,cout_tokens_in,cout_tokens_out,cout_tokens_cache_lus,cout_tokens_cache_ecrits
SM-over-folder-r1,SM,Over-folder,1,victus,0,150,0.7016510059988321,0.0761267717789457,0.29834899400116793,1.0,0.32,0,0,0,0,2,0,False,450,66203,0,241749
SM-over-folder-r1,SM,Over-folder,1,victus,1,150,0.675,0.10277777777777777,0.325,1.0,0.4,0,0,0,1,3,0,False,450,64792,1616,240134
SM-over-folder-r1,SM,Over-folder,1,victus,2,150,0.686958041958042,0.09081973581973582,0.31304195804195806,1.0,0.21333333333333335,0,0,0,0,1,0,False,450,62119,0,241742
AE-gto-r2,AE,GTO,2,victus,0,150,0.18022901428073843,-0.18022901428073843,-0.18022901428073843,0.0,-0.18,0,0,0,0,1,0,False,501,68564,0,267229
AE-gto-r2,AE,GTO,2,victus,1,150,0.0,0.0,0.0,0.0,0.02,0,0,0,1,0,0,False,534,19109,0,329275
AE-gto-r2,AE,GTO,2,victus,2,150,0.04924242424242424,-0.04924242424242424,-0.04924242424242424,0.0,-0.04666666666666667,0,0,0,0,0,0,False,549,36877,0,326797
AE-gto-r2,AE,GTO,2,victus,3,150,0.026455026455026454,-0.026455026455026454,-0.026455026455026454,0.0,0.006666666666666667,0,0,0,0,1,0,False,462,35336,0,275822
AE-gto-r2,AE,GTO,2,victus,4,150,0.02287581699346405,-0.02287581699346405,-0.02287581699346405,0.0,0.11333333333333333,0,0,0,2,0,0,False,489,31604,0,324826
AE-gto-r2,AE,GTO,2,victus,5,150,0.027777777777777776,-0.027777777777777776,-0.027777777777777776,0.0,0.08666666666666667,0,0,0,1,0,0,False,456,19209,0,311957
AE-gto-r2,AE,GTO,2,victus,6,150,0.027777777777777776,-0.027777777777777776,-0.027777777777777776,0.0,-0.11333333333333333,0,0,0,0,0,0,False,456,22967,0,286752
AE-gto-r2,AE,GTO,2,victus,7,150,0.0,0.0,0.0,0.0,-0.02,0,0,0,1,1,0,True,552,35437,0,344426
AE-gto-r2,AE,GTO,2,victus,8,150,0.02447089947089947,-0.02447089947089947,-0.02447089947089947,0.0,0.10666666666666667,0,0,0,1,2,0,True,534,34402,0,332375
AE-gto-r2,AE,GTO,2,victus,9,150,0.0,0.0,0.0,0.0,0.11333333333333333,0,0,0,0,0,0,True,531,31852,0,334679
AE-over-folder-r2,AE,Over-folder,2,victus,0,150,0.5821139694702913,0.19566380830748648,0.4178860305297087,1.0,0.4266666666666667,0,0,0,1,1,0,False,456,63200,0,243850
AE-over-folder-r2,AE,Over-folder,2,victus,1,150,0.0,0.7777777777777778,1.0,1.0,1.0,0,0,0,1,0,0,False,456,12259,0,264107
